                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.69718,                 0.3812,                 1.0215,                 0.9262,                0.92262,                 0.9443,                0.75728,                0.94876,                0.44403,                 1.1756,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     78,                0.68992,                0.37567,                 1.0185,                0.92662,                0.92943,                0.94519,                 0.7621,                0.94332,                0.44006,                 1.1848,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     79,                0.68719,                0.37468,                 1.0141,                0.93299,                0.92344,                0.94878,                0.76497,                0.94323,                0.43948,                 1.1808,             7.2023e-05,             7.2023e-05,             7.2023e-05
                     80,                0.68874,                0.37534,                 1.0175,                0.92854,                0.92955,                 0.9441,                0.75835,                0.94571,                0.43857,                 1.1909,             6.9023e-05,             6.9023e-05,             6.9023e-05
                     81,                0.68023,                0.36817,                  1.012,                0.92758,                0.92264,                0.94736,                0.75921,                0.94895,                0.43728,                 1.1892,             6.6024e-05,             6.6024e-05,             6.6024e-05
                     82,                 0.6744,                0.36203,                 1.0057,                0.93246,                0.91835,                0.94516,                0.75875,                0.94814,                0.43783,                 1.1818,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     83,                0.67371,                0.36155,                 1.0079,                0.92912,                0.92528,                0.94648,                 0.7582,                0.94567,                0.44002,                 1.1827,             6.0024e-05,             6.0024e-05,             6.0024e-05
                     84,                0.67405,                0.36144,                 1.0061,                0.93465,                0.92415,                0.94864,                0.76163,                0.94231,                0.43892,                 1.1815,             5.7025e-05,             5.7025e-05,             5.7025e-05
                     85,                0.66752,                0.36419,                 1.0096,                0.93807,                0.92203,                0.94504,                0.75863,                0.94473,                0.43967,                 1.1906,             5.4025e-05,             5.4025e-05,             5.4025e-05
                     86,                0.66551,                0.35917,                 1.0083,                0.93667,                0.92607,                0.94341,                0.75744,                0.94562,                0.44025,                 1.1961,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     87,                0.66244,                0.35593,                   1.01,                0.92564,                0.92974,                0.94381,                0.76046,                 0.9451,                 0.4366,                  1.194,             4.8026e-05,             4.8026e-05,             4.8026e-05
                     88,                0.65605,                0.35281,                 1.0021,                0.92536,                  0.931,                0.94275,                0.76093,                0.94395,                0.43811,                 1.1908,             4.5026e-05,             4.5026e-05,             4.5026e-05
                     89,                0.66214,                0.35557,                 1.0026,                0.92322,                0.93164,                0.94402,                0.75877,                0.94492,                0.43994,                 1.1983,             4.2026e-05,             4.2026e-05,             4.2026e-05
                     90,                0.65252,                 0.3507,                0.99919,                  0.934,                0.92568,                0.94315,                0.75678,                0.94564,                0.43916,                 1.2009,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     91,                0.61917,                0.28692,                0.97928,                0.93868,                0.92129,                0.94423,                0.75899,                0.95192,                0.43828,                 1.2063,             3.6027e-05,             3.6027e-05,             3.6027e-05
                     92,                0.60912,                0.28288,                0.97203,                0.93928,                0.92696,                0.94383,                0.75943,                 0.9499,                 0.4358,                 1.1996,             3.3027e-05,             3.3027e-05,             3.3027e-05
                     93,                0.60076,                0.27893,                 0.9676,                0.93921,                0.92642,                0.94251,                0.75979,                0.95112,                0.43477,                 1.2038,             3.0027e-05,             3.0027e-05,             3.0027e-05
                     94,                0.59005,                0.27331,                0.95956,                0.93718,                0.92981,                0.94243,                0.75952,                0.94836,                0.43955,                 1.2021,             2.7028e-05,             2.7028e-05,             2.7028e-05
                     95,                0.59015,                0.27334,                0.95977,                 0.9352,                 0.9272,                0.94247,                0.75977,                0.94918,                0.44199,                  1.205,             2.4028e-05,             2.4028e-05,             2.4028e-05
                     96,                0.58226,                0.27096,                0.95537,                0.93411,                0.92751,                0.94243,                0.75941,                0.94976,                0.44277,                 1.2042,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     97,                0.58272,                0.26977,                 0.9592,                0.93467,                0.92805,                0.94353,                0.75873,                0.95083,                 0.4442,                 1.2052,             1.8029e-05,             1.8029e-05,             1.8029e-05
                     98,                 0.5754,                0.26749,                0.95306,                0.93468,                 0.9288,                0.94446,                0.75926,                0.95058,                0.44581,                 1.2054,             1.5029e-05,             1.5029e-05,             1.5029e-05
                     99,                0.57261,                0.26414,                0.94891,                0.93682,                  0.926,                0.94547,                0.76043,                0.95154,                0.44633,                 1.2052,             1.2029e-05,             1.2029e-05,             1.2029e-05
                    100,                0.56736,                0.26472,                0.94772,                0.93643,                0.92808,                0.94754,                0.76057,                0.95116,                0.44815,                 1.2037,             9.0294e-06,             9.0294e-06,             9.0294e-06
